id,nome,tipo_edificio,coord_X,coord_Y,capienza
4366,Cafè e caffè,bar,4013878.790363287,1183991.1696287282,20
4367,Family Bar,bar,4013916.7500143647,1184075.238022087,20
4368,Kazan,restaurant,4006783.035323376,1175103.6634999795,40
4369,La Crota - Trattoria con pizza,restaurant,4007288.417721358,1175036.1739907754,40
4370,Trattoria La Madonnina,restaurant,4013456.399456384,1181637.6373900697,40
4371,Pizzeria Santa Maria,restaurant,4013470.7206744705,1181606.7730718942,40
4372,Turkuaz,restaurant,4011600.0596462945,1173163.3226543271,40
4373,Bar,bar,4006560.5778712737,1172687.3435950652,20
4374,fish bar de Milan,bar,4009256.1295450465,1176465.7579589966,20
4375,La Birrofila,pub,4004620.03069219,1175434.8263312527,30
4376,Happy Cafè,bar,4006267.4089773446,1175853.901959869,20
4377,Basara Milano,restaurant,4007317.556909575,1176125.4663787559,40
4378,Sarla,restaurant,4007276.4199721217,1175674.9148271508,40
4379,Bistrot Santa Maria Valle,restaurant,4007335.779580314,1175606.6300270779,40
4380,Pizzeria Grill,restaurant,4007509.59054099,1175694.2701672693,40
4381,Rossini,restaurant,4007457.308761636,1175784.407720862,40
4382,Piadineria Artigianale,fast_food,4007304.6879871846,1176239.2898961,35
4383,Nottingham Forest,bar,4008219.2453389997,1178614.377924656,20
4384,Pizzeria Italiana,fast_food,4013104.6788626453,1175051.993424743,35
4385,Ristorante L'Entità,restaurant,4012231.2483945517,1177432.911350481,40
4386,Birreria Okey,pub,4012129.4704819485,1177290.8377050813,30
4387,Ristorante La Villetta,restaurant,4011909.3932521134,1177427.356625114,40
4388,Beda House,pub,4011906.965356711,1177108.2626523147,30
4389,Pasta d'Autore,restaurant,4007391.0929284617,1175116.5897166657,40
4390,Fu Asian Restaurant,restaurant,4009616.641524243,1180039.9702134721,40
4391,Bellavista,restaurant,4008205.0592490393,1175972.779156743,40
4392,Signorvino,restaurant,4008291.954488032,1175633.9267962351,40
4393,B Cafè,fast_food,4007719.769381012,1175581.1712570088,35
4394,Bar Dani,bar,4009741.1824926715,1183175.9781958908,20
4395,Beladi,restaurant,4011336.000108522,1177541.7465055746,40
4396,Fast_food,fast_food,4011261.908306713,1177448.2900877749,35
4397,Kaori,restaurant,4011286.7327410853,1177374.6566403976,40
