id,nome,tipo_edificio,lvl_edificio,dipendenti,coord_X,coord_Y
2241,Antica trattoria Bagutto,restaurant,,10,4004466.717977034,1185208.7309009216
2242,Roadhouse,restaurant,,10,4004334.6068768855,1160346.9291138167
2243,Fast_food,fast_food,,7,4007513.379880139,1187170.6715731104
2244,7Luppoli,restaurant,,10,4004566.031238568,1177934.8254268742
2245,Tropi&Co,restaurant,,10,4004604.017303151,1177926.6959250497
2246,Haru Sushi,restaurant,,10,4010135.017509786,1173552.0665412634
2247,4cento,restaurant,,10,4003936.9670776143,1176527.3075544678
2248,Xier 3,restaurant,,10,4006386.7131419806,1164823.6584419883
2249,Birrificio La Ribalta,pub,,5,4013453.7392586838,1174835.498591928
2250,El Galet,restaurant,,10,4007896.1243743314,1184849.952793341
2251,Jindalai,restaurant,,10,4010755.4526650505,1179615.5223355836
2252,Voiture Cafè,bar,,3,4009796.0444865623,1192686.5021455623
2253,Fast_food,fast_food,,7,4008378.422613959,1175529.8311196098
2254,McDonald's,fast_food,,7,4010025.593522812,1179786.4518196145
2255,Jubin,restaurant,,10,4004756.1957557113,1177125.1630764534
2256,Circolo ex Combattenti e Reduci,bar,,3,4010169.6800680314,1175580.7195229966
2257,Fast_food,fast_food,,7,4013051.715871098,1172872.9181760596
2258,La Piadineria,fast_food,,7,4015251.0102072754,1171952.814595711
2259,YunQuick,restaurant,,10,4015268.075881275,1171941.0430915877
2260,Flunch,restaurant,,10,4015312.9837033628,1171842.3364168697
2261,Acquacheta,restaurant,,10,4013131.180285291,1181182.0121821514
2262,Fast_food,fast_food,,7,4004620.5488988394,1174787.5070052193
2263,Cibiamo,fast_food,,7,4015339.605761322,1171887.9938777266
2264,McDonald's,fast_food,,7,4015361.1228071954,1171828.974028769
2265,Al Grisea,restaurant,,10,4010634.722300505,1165981.7621213668
2266,La Contadina,restaurant,,10,4010579.8087175013,1166021.8541289761
2267,Shambala,restaurant,,10,4002320.7180583077,1177768.6244421387
2268,Monte Stella,restaurant,,10,4011550.4679104825,1169179.1831978583
2269,Il Bar del Centro Parco,bar,,3,4009990.4653302007,1189154.6795828564
2270,Bar,bar,,3,4011299.202738668,1185597.7423479515
2271,GUD Milano CityLife,restaurant,,10,4009996.870746968,1171811.5038484302
2272,McDonald's,fast_food,,7,4011525.1990954964,1170554.425351649
2273,La Brasserie de Milan,restaurant,,10,4007900.052035055,1171876.9064231936
2274,Ancora,restaurant,,10,4007541.081046556,1174514.4654283624
2275,La Pazzeria,pub,,5,4008138.071496945,1169789.5045764716
2276,Pogue Mahone's,pub,,5,4005965.823960627,1178023.909450548
2277,La Mela Bianca,restaurant,,10,4011217.122049042,1173582.1193962782
2278,Restaurant,restaurant,,10,4010642.266498161,1183005.5293396772
2279,NU,restaurant,,10,4010606.822263573,1183686.6178802208
2280,Da Marco,restaurant,,10,4011294.566756322,1180805.680763437
2281,Trattoria Toscana,restaurant,,10,4003820.7409733576,1169612.988320894
2282,Radetzky Café,pub,,5,4009703.928275628,1175974.1965240273
2283,Scott Duff,pub,,5,4009910.999534692,1175763.6275064705
2284,Baladin Milano,pub,,5,4009818.70819302,1176487.5658798623
2285,Volta Street,restaurant,,10,4009731.5629085866,1175874.0959619884
2286,Oracle,restaurant,,10,4009614.821908009,1175840.3614983035
2287,Bomaki,restaurant,,10,4009682.6086014695,1175869.7825610228
2288,Denzel,restaurant,,10,4008354.533804666,1172039.8991938534
2289,Ai Muciaccia,restaurant,,10,4007720.574807599,1172120.2682920916
2290,Restaurant,restaurant,,10,4008028.8535181186,1172304.464060619
2291,The Old Fox Pub,pub,,5,4007390.3849242902,1173921.2951702678
2292,McDonald's,fast_food,,7,4008660.8021196183,1172083.5630471453
2293,Chicken House,restaurant,,10,4005570.619717038,1171745.232773703
2294,Nicola Cavallaro,restaurant,,10,4006126.9003193234,1171711.621439423
2295,Piad'Or - Piadine e non solo,fast_food,,7,4008723.3609393095,1171649.0956626895
2296,Il Panino Giusto,fast_food,,7,4008596.4782193857,1172640.969542341
2297,Marghera 37,pub,,5,4008619.373407273,1171669.22525268
2298,McDonald's,fast_food,,7,4011792.225233792,1176160.7461655755
2299,Da Berti,restaurant,,10,4010872.5202296586,1177570.8480005516
2300,Trattoria Casa Fontana - 23 risotti,restaurant,,10,4011484.1733892965,1177879.7280220108
2301,Il gatto e la volpe,pub,,5,4011629.292071768,1177836.2478470954
2302,Tequila,pub,,5,4011662.0381202055,1177703.4391499283
2303,Nordest,pub,,5,4011033.4821324814,1176584.844003711
2304,Tempi moderni,pub,,5,4013946.1560267145,1179364.959183591
2305,A Casa Mia Café,restaurant,,10,4013989.066352012,1179287.909588356
2306,Panino Giusto,fast_food,,7,4006568.525102094,1174979.9738314473
2307,a Riccione,restaurant,,10,4011601.0131894113,1177557.5075334737
2308,Il Tombino,pub,,5,4007881.1454437557,1171664.9895374712
2309,McDonald's,fast_food,,7,4001993.106859316,1183604.9193668875
2310,Hop,pub,,5,4007064.885649478,1178467.8014789773
2311,Daniel,restaurant,,10,4009680.1217219243,1176514.529303713
2312,Wizard,pub,,5,4006345.659652987,1173631.248344696
2313,Le Fontanelle,pub,,5,4006426.872762417,1174718.2738745653
2314,Officina 12,restaurant,,10,4006482.1109367856,1174416.7646533067
2315,Fabbrica,restaurant,,10,4006393.8282778542,1173635.1159906515
2316,Bar Magenta,pub,,5,4008202.2246128423,1174625.263978235
2317,Ristorante Pizzeria Bande Nere,restaurant,,10,4008150.9185360176,1169515.102224403
2318,Rifugio Delicatessen,restaurant,,10,4010847.938406646,1173912.7439899817
2319,Club Decò,bar,,3,4010960.691762425,1173784.1055785748
2320,Il Giardino della Birra,restaurant,,10,4008046.70298601,1183267.368347008
2321,Matricola,pub,,5,4008896.6105481866,1180817.8116461125
