id,nome,tipo_edificio,lvl_edificio,dipendenti,coord_X,coord_Y
1,Office,office,1,10,4012209.019025864,1184797.2928607382
2,Commercial,commercial,1,15,4010875.2966091926,1174561.9547870513
3,Arcivescovado,office,4,40,4007664.907533813,1176698.1534371471
4,Office,office,1,10,4009226.759383901,1177313.2735244622
5,Office,office,1,10,4007609.72202089,1176896.9410272976
6,Palazzo Telecom,office,6,60,4011332.769128847,1175798.9105958997
7,Ca' Brutta,commercial,6,90,4009336.745074577,1177075.0765515922
8,Commercial,commercial,6,90,4009180.4088281617,1177091.8078979247
9,Armani Building,commercial,1,15,4008600.7362892386,1176808.5193545856
10,Commercial,commercial,9,135,4010174.8225260074,1177286.5923176233
11,Ex Palazzo delle Poste,office,1,10,4010478.812983744,1178917.8145075764
12,Danone,office,5,50,4011225.0416683843,1175861.206698893
13,Commercial,commercial,4,60,4008898.6515500736,1178902.5197494482
14,Commercial,commercial,3,45,4011709.7033993755,1175694.2878411117
15,Office,office,4,40,4011774.7666784916,1175687.0181413162
16,Commercial,commercial,8,120,4009709.77913722,1177413.2943423558
17,Office,office,1,10,4010694.673290032,1180833.6657192083
18,Commercial,commercial,3,45,4011039.107031161,1180817.8820917674
19,Commercial,commercial,3,45,4011350.530006346,1179961.6523180206
20,Office,office,1,10,4011778.0765674333,1175490.304666426
21,Office,office,1,10,4007419.3222010145,1178193.3761373474
22,Commercial,commercial,6,90,4009807.4655234264,1176308.1852685763
23,Commercial,commercial,1,15,4010366.7356733647,1182415.4577334484
24,Commercial,commercial,1,15,4007369.590337237,1176246.6184782982
25,Commercial,commercial,1,15,4007537.3785486305,1176544.810302379
26,Palazzo Meroni,commercial,6,90,4007294.231994332,1176191.6447941791
27,Commercial,commercial,1,15,4012112.1870170776,1174530.4135021823
28,Office,office,2,20,4012052.745817514,1174814.71772518
29,Commercial,commercial,3,45,4012060.968996221,1174318.8559259267
30,Palazzo della Veneranda Fabbrica del Duomo,office,1,10,4007797.0005959626,1176853.4195448002
31,Casa Savonelli,office,5,50,4008119.3249060316,1175898.5149264026
32,Office,office,4,40,4008134.8295491734,1176268.0221255464
33,Commercial,commercial,5,75,4008031.067276091,1176275.6404417977
34,Palazzo dell'Inps,office,4,40,4007432.4217457054,1176086.9830729715
35,Office,office,1,10,4008036.3962698234,1175922.4273963685
36,Office,office,1,10,4008014.5262970543,1175632.79905485
37,Palazzo del Banco di Roma,office,4,40,4007909.4825585233,1175583.2510227552
38,Office,office,4,40,4008011.3553578644,1175175.625860263
39,Commercial,commercial,1,15,4007965.080688944,1173508.477630558
40,Commercial,commercial,1,15,4007667.744566513,1176363.7962678464
41,Office,office,4,40,4006995.00097371,1175557.2281260362
42,Office,office,6,60,4007076.5787092973,1175508.3932881807
43,Office,office,4,40,4006744.307041679,1175627.4286413593
44,Office,office,5,50,4008073.7991955783,1175756.280832687
45,Office,office,4,40,4007773.639838471,1175269.180842812
46,Office,office,5,50,4007903.3514803895,1176010.988750798
47,Polizia Locale – Area Procedure Sanzionatorie e Traffico,office,1,10,4006062.9669847754,1179061.4350727214
48,Commercial,commercial,1,15,4005937.417780776,1180113.5388357483
49,Commercial,commercial,2,30,4012582.9888324765,1174901.3097117697
50,Office,office,1,10,4012040.5072911954,1181591.3690655488
51,Milano 67,office,1,10,4014050.234591464,1182098.2615912822
52,Commercial,commercial,5,75,4008019.7691913964,1176362.9862904048
53,V Palazzo Uffici ENI,office,1,10,4001617.6634411844,1184096.7148325762
54,Commercial,commercial,1,15,4006611.298810154,1173285.6394902973
55,Commercial,commercial,1,15,4005265.3749780217,1171978.5270288878
56,Office,office,1,10,4005675.277947368,1172605.161638628
57,Commercial,commercial,1,15,4007810.1799345873,1171722.087441927
58,Commercial,commercial,4,60,4010188.6060900777,1170996.60907017
59,Office,office,6,60,4008119.140093508,1175829.297727612
60,Office,office,1,10,4009409.750077586,1176296.9923523865
61,Commercial,commercial,6,90,4007575.7534557167,1176307.9478469742
62,ASL città di Milano,office,1,10,4007094.5348892175,1176092.6909660574
63,Office,office,8,80,4007131.6427181223,1176289.4626485624
64,Commercial,commercial,7,105,4009938.849880604,1176492.9111862609
65,Office,office,1,10,4013607.341011303,1179667.663894842
66,Office,office,1,10,4010469.251008129,1182424.5362440904
67,Westin Palace,commercial,1,15,4009527.589343236,1177802.4460816719
68,Office,office,3,30,4008069.403188618,1178075.7978362765
69,Office,office,7,70,4011855.839917593,1174944.9037980284
70,"Camera di Commercio di Milano, Monza Brianza e Lodi",office,4,40,4008075.185467032,1175619.2322378992
71,Casa Broggi,office,5,50,4008184.2819327414,1175757.9326028724
72,Palazzo Turati,office,3,30,4008120.507713953,1175616.6523288065
73,Commercial,commercial,5,75,4010155.8871376775,1178934.4505989742
74,Office,office,3,30,4014035.037535043,1181680.6325157431
75,Commercial,commercial,1,15,4008217.3811366945,1177230.3263318099
76,Assolombarda,office,7,70,4007312.8753564493,1176658.5212000934
77,Palazzo Beltrami,office,4,40,4008150.147646302,1176446.0282197893
78,Commercial,commercial,3,45,4006921.1651683603,1175963.579693881
79,Office,office,3,30,4009433.199094754,1176180.78136722
80,Commercial,commercial,3,45,4002706.644667596,1176986.5673618799
81,Commercial,commercial,3,45,4002675.263643988,1176996.5402636416
82,Commercial,commercial,3,45,4002921.2874971135,1176918.401244729
83,Commercial,commercial,3,45,4002841.3948971704,1176943.7825791256
84,Commercial,commercial,3,45,4003007.1210738407,1176891.1526532453
85,Commercial,commercial,4,60,4007737.1058404846,1176370.6726814134
86,Office,office,3,30,4009392.8878950384,1176063.819281526
87,Commercial,commercial,1,15,4014420.1460792255,1181967.071088677
88,Office,office,1,10,4003987.084377566,1159486.0927711562
89,Mondo Convenienza,commercial,1,15,4004479.550590194,1161250.1392431532
90,Palazzo delle Assicurazioni Generali,office,5,50,4007932.379352246,1176070.3613423633
91,Centro Leoni B,commercial,10,150,4005283.6761754304,1176163.5170412404
92,Palazzo di Fuoco,commercial,1,15,4010436.661143831,1180175.1532550931
93,Commercial,commercial,6,90,4007904.7245861404,1176544.3817069135
94,Centro Leoni A,commercial,10,150,4005295.175797354,1176007.089165696
95,Office,office,1,10,4008238.793110229,1174531.2134321926
96,Commercial,commercial,2,30,4007707.2820770848,1172044.4589358408
97,Office,office,1,10,4008484.2581863506,1176483.7039823048
98,Intesa Sanpaolo,office,3,30,4008486.281524863,1176379.8279976833
99,Commercial,commercial,1,15,4007578.410274204,1176283.5186595407
100,Office,office,8,80,4007612.0919534066,1176273.6432719282
101,Commercial,commercial,1,15,4007556.673334807,1176331.0493123184
102,Office,office,1,10,4009991.918739668,1178607.5628183265
103,Commercial,commercial,1,15,4008639.8737224103,1176988.9062013354
104,Commercial,commercial,1,15,4008575.955099907,1177071.2982791497
105,Commercial,commercial,1,15,4008485.9340064763,1176932.0781782204
106,Commercial,commercial,1,15,4008485.9340064763,1176932.0781782204
107,Casa Buzzoni,commercial,4,60,4007820.780524672,1175698.3811869968
108,Commercial,commercial,3,45,4007167.8201526417,1175928.353820072
109,Office,office,3,30,4007032.477151881,1175816.495980618
110,Bisleri 1881,commercial,1,15,4007127.2055147463,1173372.3822075168
111,Commercial,commercial,1,15,4006940.440828267,1173674.0636104397
112,Commercial,commercial,1,15,4010233.7095189365,1178133.0863313053
113,Commercial,commercial,1,15,4005955.059335772,1177414.8331859054
114,Zurich Italia,office,1,10,4012778.5891529764,1176130.7300737503
115,Commercial,commercial,2,30,4007936.0112219313,1173627.3858194728
116,Commercial,commercial,1,15,4005821.4729372202,1178910.0630174016
117,Commercial,commercial,1,15,4005940.088740633,1178501.4412849816
118,Office,office,1,10,4012123.388840148,1184808.407319983
119,Commercial,commercial,1,15,4009090.573839943,1171885.441220014
120,Office,office,7,70,4009506.737534005,1175975.7550645994
121,Comune di Milano - Direzione Sistemi Informativi e Agenda Digitale,office,4,40,"[-141646.64600901096, 2874671.8525834642]","[1018755.3426913796, 5506313.601250988]"
122,Commercial,commercial,1,15,4009769.6847879775,1170933.6672289588
123,Office,office,1,10,4010170.785428554,1171016.526656491
124,Office,office,4,40,4010288.1871032054,1171156.063947698
125,Commercial,commercial,1,15,4012026.278656772,1175035.715546869
126,Commercial,commercial,1,15,4012464.1548875337,1175861.1220312195
127,Commercial,commercial,1,15,4012561.6892318027,1182435.1455348216
128,Sirti,office,1,10,4011927.1797447493,1181752.9635056895
129,Office,office,1,10,4012690.936446018,1189646.028822435
130,Office,office,1,10,4004170.7916115993,1178161.1666655669
131,Office,office,1,10,4006353.3849560237,1166197.9858367527
132,Commercial,commercial,1,15,4004180.616770557,1177683.6427292612
133,Commercial,commercial,1,15,4013076.351078663,1168542.060314143
134,Commercial,commercial,1,15,4012270.085923259,1170962.7508422062
135,Commercial,commercial,1,15,4005418.4445231445,1183229.9843000218
136,Commercial,commercial,1,15,4005724.5403775047,1184356.4834979442
137,Commercial,commercial,1,15,4005759.1515750564,1182863.7181214243
138,Commercial,commercial,1,15,4015004.146681368,1164926.606862195
139,Office,office,1,10,4014803.5505646267,1162431.7872635212
140,Palazzo Mezzanotte,office,4,40,4008028.1554082306,1175537.9807406655
141,Commercial,commercial,1,15,4011814.674837118,1168969.1722496953
142,CNR Polo Bicocca - Area 3,office,2,20,4013614.169667536,1179755.4254028867
143,Commercial,commercial,1,15,4005626.5689434907,1171180.0756861398
144,ATM Cascina Gobba MM2,commercial,1,15,4012786.9046818935,1185851.6624106334
145,Commercial,commercial,1,15,4014200.571835201,1164855.290704702
146,Famagosta,commercial,4,60,4004657.3471469223,1173368.6590266256
147,IV Palazzo Uffici ENI,office,1,10,4001222.670553783,1185907.2621102592
148,IV Palazzo Uffici ENI,office,1,10,4001296.3927409323,1186038.6962736817
149,Deutsche Bank,office,7,70,4013508.3200379442,1179386.4485156573
150,Torre Breda,office,1,10,4009780.31891164,1177865.0774077694
151,BT Italia,office,1,10,4007886.4240137087,1183614.0479485635
152,Office,office,1,10,4007840.464065378,1183625.9639251796
153,Office,office,1,10,4007778.087257504,1183641.0886988435
154,Office,office,1,10,4007732.056763752,1183652.4071606228
155,Office,office,1,10,4007737.2715919344,1183717.2106336642
156,Office,office,1,10,4007744.210554113,1183804.611408251
157,Office,office,1,10,4007749.1319256914,1183869.2717104047
158,Office,office,1,10,4008970.148873771,1181259.1688634919
159,Idea Hotel Milano Lorenteggio,office,1,10,4006213.95796906,1166747.4003752093
160,Office,office,1,10,4006342.1795467986,1166681.5927957497
161,Office,office,1,10,4006427.0406890274,1166724.6759382312
162,Torre Garibaldi A,office,26,260,4010492.2116625737,1176396.6877945738
163,Torre Garibaldi B,office,26,260,4010522.439498476,1176278.4726894808
164,Mondadori,office,1,10,4007763.3597091185,1190370.1874230902
165,Palazzo dei Giureconsulti,office,3,30,4007998.4438058357,1176122.8578603284
166,Camera del Lavoro,office,1,10,4007452.375876502,1178163.5053939866
167,Burger King,commercial,1,15,4013102.1797972615,1169344.375801701
168,Office,office,1,10,4011457.7249589236,1172179.5005657184
169,Commercial,commercial,1,15,4010668.814782851,1170368.6068359208
170,Padiglione Aeronavale,commercial,2,30,4007651.037116915,1173982.3492238862
171,Palazzo Cimabue,commercial,1,15,4010464.8788700886,1191546.0718716488
172,Istituto Nazionale dei Tumori,office,1,10,4008647.7172209616,1181834.8109932782
173,Office,office,5,50,4009372.2232618853,1177085.3290457139
174,Palazzi Montecatini,office,9,90,4009151.6884109033,1177205.5155341688
175,Commercial,commercial,3,45,4012023.4228579244,1177166.552798787
176,Commercial,commercial,2,30,4009341.556909423,1178027.0221089432
177,Commercial,commercial,2,30,4012019.371545333,1177438.4879041607
178,Commercial,commercial,1,15,4009371.1286680275,1178519.8804379182
179,Commercial,commercial,1,15,4012398.8049671613,1178114.439986525
180,Commercial,commercial,1,15,4010265.7947366517,1179469.1117849383
181,Office,office,3,30,4010434.2170042596,1179973.8914073636
182,Vaillant,commercial,1,15,4012878.4969650074,1176273.2159234593
183,Office,office,2,20,4013228.1579424585,1178310.8290918064
184,Office,office,1,10,4009767.9668011875,1178300.9557376576
185,Commercial,commercial,1,15,4009850.2562528397,1178172.3783137717
186,Commercial,commercial,1,15,4009991.918739668,1178607.5628183265
187,Office,office,5,50,4011492.8516106764,1177624.0392253369
188,Office,office,6,60,4011463.067609248,1177593.5496720828
189,Office,office,3,30,4011074.8880003546,1177614.1836578764
190,Commercial,commercial,1,15,4010050.878620157,1179048.1024887343
191,Edificio Montedoria,office,9,90,4010304.7058211556,1179040.447068397
192,Commercial,commercial,1,15,4010116.3849476897,1178344.1935233
193,Commercial,commercial,11,165,4010140.239468668,1178242.8503662648
194,Office,office,8,80,4010073.194070413,1177964.8397334402
195,Office,office,8,80,4010072.1129516875,1178030.957243359
196,Commercial,commercial,1,15,4009179.0349939596,1179874.0801510853
197,Office,office,3,30,4011163.8651766153,1178301.7837449408
198,Office,office,4,40,4011291.231042504,1178338.594124673
199,Commercial,commercial,3,45,4010574.768332569,1177861.651457292
200,Office,office,1,10,4010977.398768138,1177698.866365931
201,Office,office,4,40,4011148.1499958537,1177023.6051724076
202,Commercial,commercial,3,45,4011241.688385929,1177085.4574080766
203,Commercial,commercial,1,15,4006534.6217922512,1183186.3598853028
204,Commercial,commercial,1,15,4006574.29472484,1183226.3762489962
205,Commercial,commercial,3,45,4011453.8476539366,1176927.8330164298
206,Commercial,commercial,1,15,4011409.5981502417,1176965.3419826038
207,Commercial,commercial,1,15,4011222.1015445637,1176023.1903068055
208,Commercial,commercial,1,15,4011249.185813491,1176029.8130137427
209,Commercial,commercial,2,30,4011160.7510690577,1176033.3512893717
210,GGL,office,9,90,4010958.4232161497,1176067.7895510793
211,Banca Generali,office,9,90,4010948.5600846736,1175974.8083236914
212,Office,office,9,90,4010931.483074899,1175911.3952810708
213,Office,office,1,10,4010983.0142432433,1175868.0707043852
214,GGL,office,7,70,4010882.7613308444,1175868.6479673062
215,Commercial,commercial,1,15,4011016.4825381828,1176045.5408096954
216,Office,office,3,30,4011012.4942651303,1175924.5988749708
217,Office,office,2,20,4010965.5635807146,1175819.8681980693
218,Commercial,commercial,4,60,4011647.147596474,1179383.9440020279
219,Commercial,commercial,1,15,4008038.002974354,1181053.6591081377
220,Commercial,commercial,1,15,4008015.4621070283,1180962.9229377008
221,Commercial,commercial,1,15,4010829.475249963,1179571.1647757192
222,Office,office,4,40,4010681.3781793807,1179490.6293448145
223,Office,office,2,20,4011244.518205476,1175799.539275876
224,Commercial,commercial,7,105,4011703.419493775,1175809.7989445827
225,Commercial,commercial,1,15,4008736.6328808656,1178997.9267924519
226,Office,office,4,40,4011039.107031161,1180817.8820917674
227,Commercial,commercial,1,15,4010911.5007752585,1181588.2553163373
228,Office,office,7,70,4008274.4876105376,1178381.3690992955
229,Office,office,1,10,4012101.4252529773,1175593.6481399634
230,Commercial,commercial,1,15,4012956.753239307,1179327.9104341497
231,Commercial,commercial,1,15,4011238.2688932368,1180363.2132657997
232,Office,office,6,60,4007991.4183957423,1177763.586351091
233,Commercial,commercial,1,15,4007475.288626706,1178460.2399450638
234,Office,office,6,60,4007522.4490008745,1177918.1037234298
235,Mercato del Suffragio,commercial,1,15,4007290.821606732,1179164.6912370329
236,Office,office,5,50,4007824.7022278258,1177628.5678422288
237,Office,office,3,30,4007653.0606931653,1177462.1435239662
238,Office,office,7,70,4009606.0773228905,1175833.617900475
239,Office,office,3,30,4010462.8280796367,1175564.1082877605
240,Office,office,7,70,4010587.689016786,1175719.092997156
241,Commercial,commercial,1,15,4012419.9216998657,1175955.2097313306
242,Commercial,commercial,1,15,4011097.754501428,1181618.740280764
243,Commercial,commercial,1,15,4012223.6001894986,1174893.2887050214
244,Commercial,commercial,1,15,4012520.7758441535,1174977.5103483
245,Office,office,1,10,4010758.9260055413,1182683.347784254
246,Office,office,1,10,4010837.69127901,1182541.312296448
247,Commercial,commercial,1,15,4010139.0380313727,1176155.6949715065
248,Commercial,commercial,10,150,4010255.061001365,1176280.553922489
249,Commercial,commercial,3,45,4009413.69593464,1173926.9491465997
250,Commercial,commercial,1,15,4009948.5690832254,1173694.4895152776
251,Commercial,commercial,8,120,4007982.3687022943,1177618.375012013
252,Office,office,1,10,4007351.3244915833,1176444.7310496033
253,Commercial,commercial,1,15,4007536.0189748616,1176382.122956421
254,Commercial,commercial,1,15,4007587.6272505852,1176479.714971874
255,Commercial,commercial,7,105,4007467.0939003825,1176557.1067674842
256,Palazzo Bertarelli,office,5,50,4007176.9502063547,1176055.9947407404
257,Commercial,commercial,1,15,4010817.47883786,1173884.450297467
258,Office,office,3,30,4010717.7988003283,1173094.316690718
259,Commercial,commercial,1,15,4008680.7057503844,1177137.195920721
260,Commercial,commercial,1,15,4008557.9490322457,1176748.410190011
261,Palazzo Ferrero,office,7,70,4008639.1949052187,1175804.4548641513
262,Office,office,9,90,4008669.030092823,1175780.7066009948
263,Commercial,commercial,3,45,4012057.3879511533,1175034.7260850286
264,Commercial,commercial,1,15,4012038.573986692,1174905.083893664
265,Commercial,commercial,4,60,4008878.7935694195,1175993.023553931
266,Commercial,commercial,7,105,4009984.672681808,1173623.4590600529
267,Commercial,commercial,1,15,4010003.117945345,1173401.4731785783
268,Commercial,commercial,4,60,4012686.6132350448,1174995.9348030712
269,Commercial,commercial,4,60,4011462.6742812335,1174299.1476531925
270,Commercial,commercial,1,15,4008205.136193101,1177305.1666215332
271,Commercial,commercial,1,15,4008252.334513315,1177221.0610462504
272,Commercial,commercial,5,75,4008071.35312774,1176576.0331230399
273,Commercial,commercial,1,15,4009533.3002448822,1172794.9553286252
274,Office,office,2,20,4012760.475147882,1174157.8760588735
275,Commercial,commercial,4,60,4008032.9992985264,1176700.4070243104
276,Commercial,commercial,1,15,4007574.265792659,1176954.645335638
277,Office,office,1,10,4010505.0161598255,1173054.948398838
278,Palazzo del Credito Italiano,office,5,50,4008119.511145487,1175996.0465916712
279,Office,office,1,10,4008319.706983974,1176189.2340908197
280,Office,office,3,30,4008237.49986098,1175934.8951400423
281,Commercial,commercial,1,15,4008209.0462483694,1175655.4417734805
282,Office,office,1,10,4006948.557675388,1177936.659845647
283,Commercial,commercial,2,30,4008798.265433011,1172804.6307002986
284,Office,office,3,30,4008712.241214411,1173163.764103257
285,Commercial,commercial,1,15,4006808.1960111586,1177036.5516142282
286,Office,office,8,80,4007116.8342887107,1176394.3322107587
287,Commercial,commercial,1,15,4013013.79094073,1176077.4755966754
288,Office,office,1,10,4012495.799698133,1176345.245041286
289,Palazzo Edison,office,1,10,4008394.3694041166,1174952.529087529
290,Office,office,9,90,4008676.7894831216,1174567.9458259642
291,Commercial,commercial,1,15,4007287.0453990125,1176675.2595132517
292,Consolato Generale del Sud-Africa,office,1,10,4008227.353011101,1175397.3906020154
293,Commercial,commercial,4,60,4008179.7330093593,1175558.931652358
294,Office,office,10,100,4008186.7493029768,1175539.418610605
295,Palazzo Dario Biandrà,office,5,50,4008011.411845388,1176097.1897702704
296,Office,office,1,10,4007737.467177558,1176244.7148870742
297,Office,office,4,40,4007986.1049919217,1175495.20703903
298,Office,office,1,10,4008013.5929260855,1175514.1521602592
299,Office,office,1,10,4008055.080325015,1175471.905277279
300,Banca d'Italia,office,5,50,4007885.048512629,1175934.725870003
301,Office,office,3,30,4008011.3553578644,1175175.625860263
302,Office,office,3,30,4007871.925530919,1175497.6017084734
303,Commercial,commercial,1,15,4008179.388182357,1174878.7406591433
304,Office,office,3,30,4008208.273617119,1174357.9716935873
305,Commercial,commercial,1,15,4006504.8517712182,1175679.6566045382
306,Office,office,3,30,4007652.2322274395,1176123.579898088
307,Office,office,7,70,4006968.308401796,1175639.4467173212
308,Commercial,commercial,1,15,4011834.0851860777,1172993.7888629434
309,Commercial,commercial,1,15,4006119.4374629054,1177036.9934109366
310,Office,office,1,10,4008070.8109763036,1175787.0874067605
311,Office,office,6,60,4007969.142214981,1175551.2790467646
312,Office,office,4,40,4007823.014826045,1175453.8367611847
313,Commercial,commercial,1,15,4007337.90440512,1173943.8686481363
314,Office,office,6,60,4007605.5932018175,1173886.8118828724
315,Commercial,commercial,5,75,4007500.8100832533,1173662.026272363
316,Terme Milano QC,commercial,1,15,4006126.315595224,1177717.0304147128
317,Palazzo Broggi,office,4,40,4007948.925762947,1175959.3564898213
318,Office,office,4,40,4007940.110537955,1175929.3783450795
319,Commercial,commercial,3,45,4007273.0493104034,1175813.8094788662
320,Office,office,1,10,4011784.884572084,1172460.9387804093
321,C.I.S.L. Lombardia,office,1,10,4011741.643480498,1181499.0575457108
322,Commercial,commercial,1,15,4008111.477966475,1173240.3479850667
323,Commercial,commercial,1,15,4008141.6326909205,1172965.4996725346
324,Commercial,commercial,1,15,4006420.217432926,1178512.4667014864
325,Commercial,commercial,1,15,4006176.7262205384,1178594.4183232489
326,Commercial,commercial,1,15,4006158.5758566973,1178390.207664047
327,Commercial,commercial,1,15,4005747.37976441,1180037.6691356571
328,Commercial,commercial,1,15,4006293.7750595235,1178260.2961176974
329,Hotel Concorde,commercial,1,15,4012276.0018983576,1180942.9054014708
330,Zelig,commercial,2,30,4012476.258113458,1181066.021910154
331,Office,office,1,10,4011937.0974388793,1181664.3820750779
332,Commercial,commercial,1,15,4005730.928432403,1179289.8202059302
333,Commercial,commercial,1,15,4005541.226875045,1178743.27109471
334,Office,office,1,10,4013077.4636462317,1173675.5822435599
335,Commercial,commercial,1,15,4006140.7150454917,1180901.7068446544
336,Commercial,commercial,1,15,4006106.866244338,1180898.6629941592
337,Commercial,commercial,1,15,4005943.6173376353,1177764.6155074392
338,Commercial,commercial,1,15,4005631.6453228607,1177662.314151675
339,Office,office,1,10,4012138.9929097034,1182843.7141233063
340,Commercial,commercial,1,15,4012168.2834444405,1183270.6614599836
341,Office,office,4,40,4007541.258868085,1175111.1032964084
342,Office,office,1,10,4015927.5807642015,1162599.5980720927
343,Office,office,1,10,4015984.2979403534,1162586.3958578524
344,Office,office,1,10,4005599.3599677663,1178960.7692937856
345,IDEA Hotel Milano San Siro,commercial,1,15,4010147.846960441,1162122.3618503334
346,Commercial,commercial,1,15,4009261.790395956,1182351.6445702128
347,Commercial,commercial,5,75,4008040.5023455312,1176516.1271822385
348,Bocciofila,commercial,1,15,4002788.632542837,1174008.6882827498
349,Office,office,1,10,4006671.5328491195,1167354.6921204678
350,Commercial,commercial,1,15,4012211.171406141,1175599.17953853
351,Padiglione 5,commercial,1,15,4016095.6845674654,1163212.2569145164
352,Padiglione 11,commercial,1,15,4016353.4294641605,1162646.8163427226
353,Padiglione 9,commercial,1,15,4016353.4294641605,1162646.8163427226
354,Padiglione 4,commercial,1,15,4016232.76436751,1163765.0853452685
355,Padiglione 6,commercial,1,15,4016312.078661315,1163309.627876373
356,Padiglione 2,commercial,1,15,4016232.76436751,1163765.0853452685
357,Centro servizi,commercial,1,15,4016127.8080877364,1162706.0486535754
358,Padiglione 1,commercial,1,15,4015952.7584677315,1163523.7999144993
359,Padiglione 3,commercial,1,15,4015952.7584677315,1163523.7999144993
360,Padiglione 13,commercial,1,15,4016495.577243308,1162334.8365643327
361,Padiglione 7,commercial,1,15,4016095.6845674654,1163212.2569145164
362,Commercial,commercial,3,45,4012348.377356877,1178090.7587386873
363,Grattacielo Pirelli,office,31,310,4010328.848668421,1178102.0803062771
364,Regione Lombardia,office,3,30,4010328.848668421,1178102.0803062771
365,Mensa ENI,office,1,10,4001386.792092694,1186059.561205214
366,III Palazzo Uffici ENI,office,1,10,4001367.9679561555,1186145.824625782
367,II Palazzo Uffici ENI,office,15,150,4002055.3206032827,1184217.100471602
368,Mensa aziendale Eni,office,1,10,4002178.7523541213,1184059.2518178392
369,Commercial,commercial,1,15,4007174.7792127896,1173737.1310698774
370,Commercial,commercial,1,15,4012369.7070204434,1180763.502427624
371,Office,office,1,10,4013533.162330289,1181218.3943344906
372,Office,office,1,10,4013472.504395896,1181209.5173687201
373,Commercial,commercial,1,15,4013514.5692243073,1181227.5156794044
374,IW Bank,office,1,10,4009992.7627941,1170630.3868259294
375,Office,office,1,10,4006261.923872635,1166643.7158739548
376,Office,office,1,10,4006482.4747437397,1166421.8587528525
377,IMQ SpA,office,1,10,4005150.2775961137,1183863.6354960997
378,IMQ SpA,office,6,60,4005072.365227185,1183898.1754534605
379,Commercial,commercial,1,15,4008216.5529051614,1169521.0395473724
380,Commercial,commercial,1,15,4009667.0157247386,1170701.9015256236
381,Commercial,commercial,1,15,4009930.8426977927,1170755.6264220178
382,Commercial,commercial,3,45,4010240.4640691523,1170811.8366667158
383,Office,office,3,30,4010215.8697251985,1170903.603274102
384,Office,office,1,10,4010236.2250582897,1170655.684011233
385,Office,office,1,10,4010033.4665765986,1170965.9597677526
386,Il Sole 24 Ore,office,1,10,4009966.3856952633,1170731.9376232806
387,Techint,office,1,10,4010102.8016172,1170624.801046519
388,Commercial,commercial,1,15,4010481.2340609464,1170771.0024711248
389,Commercial,commercial,5,75,4009301.2934024455,1171208.8270614
390,Commercial,commercial,1,15,4013355.4454598054,1180600.6821731408
391,Commercial,commercial,1,15,4011087.3811930977,1172494.3133824612
392,Office,office,1,10,4011700.819259336,1171911.1691855155
393,Commercial,commercial,1,15,4012574.901980371,1170480.0975583317
394,Valtur Spa in AS,office,6,60,4012320.942199107,1169667.9536015224
395,Office,office,1,10,4010393.59113333,1171644.3313420108
396,Office,office,9,90,4008117.5490322593,1171010.6679549871
397,Commercial,commercial,1,15,4009434.86905824,1170549.3006547238
398,Commercial,commercial,1,15,4007312.1836872543,1170887.7505262466
399,Commercial,commercial,1,15,4006611.298810154,1173285.6394902973
400,Commercial,commercial,1,15,4009941.9176822314,1175418.8833540226
401,Commercial,commercial,1,15,4012738.291798761,1181384.7815366297
402,Commercial,commercial,2,30,4013515.689736428,1180146.0793939605
403,Office,office,1,10,4013554.118607945,1180102.0000834472
404,Siirtec Nigi,commercial,1,15,4010778.3633340285,1170887.6300072721
405,Commercial,commercial,1,15,4008471.5300658746,1169581.8340005486
406,Commercial,commercial,1,15,4008533.524519641,1169505.6103320904
407,Commercial,commercial,1,15,4011101.917117377,1182668.5967187814
408,Office,office,1,10,4013981.723724819,1164662.7414673395
409,Commercial,commercial,1,15,4014364.2862610174,1182364.8489308353
410,Reply,office,1,10,4013466.480754532,1166638.941324596
411,Giuffre' Editore,commercial,1,15,4013420.071340659,1166728.285838085
412,Commercial,commercial,4,60,4014091.5632648314,1179320.1322327007
413,Office,office,1,10,4004864.2497753515,1181492.5441346157
414,L'Oreal,office,1,10,4007745.559367129,1168649.959535272
415,Commercial,commercial,1,15,4006694.5742034954,1174197.5695612936
416,Office,office,1,10,4014319.7110647685,1182288.2124273852
417,Commercial,commercial,1,15,4006652.137533379,1171991.0566438218
418,Commercial,commercial,1,15,4006674.5310403947,1172684.822779358
419,Commercial,commercial,1,15,4006640.2557572,1172995.0478594895
420,Commercial,commercial,1,15,4006561.889896072,1173544.9087681961
421,Commercial,commercial,1,15,4005216.3461139337,1171869.6654237767
422,Commercial,commercial,2,30,4008624.227699305,1169897.1421493068
423,Commercial,commercial,1,15,4008578.024711678,1170142.6599377885
424,Commercial,commercial,1,15,4005545.681312313,1180249.9317654138
425,Commercial,commercial,1,15,4005222.3129763603,1180107.8642581447
426,Commercial,commercial,1,15,4004545.4196056672,1179416.9761855362
427,Commercial,commercial,1,15,4005043.8982679737,1171375.6615523323
428,Commercial,commercial,1,15,4012614.1502138516,1182539.8932558284
429,Commercial,commercial,1,15,4012301.7110103182,1171188.5618159063
430,Commercial,commercial,1,15,4005461.01131045,1175148.423197666
431,Commercial,commercial,1,15,4006319.100017248,1174127.6471576777
432,Commercial,commercial,1,15,4006349.471445517,1174110.3170865052
433,Commercial,commercial,1,15,4004498.0660967487,1180594.0430438821
434,Office,office,5,50,4004968.040247934,1177471.3533281328
