id,nome,tipo_edificio,coord_X,coord_Y,capienza
6675,Patagonia,clothes,4009878.2648068685,1176148.2950352419,30
6676,Punto SMA,supermarket,4007405.547765252,1178987.5061358747,50
6677,Pharmacy,pharmacy,4007141.3538072463,1178863.2231488659,10
6678,Farmacia Ferrarini,pharmacy,4007322.158452072,1178621.0060216656,10
6679,Pharmacy,pharmacy,4007359.728324795,1179017.4415298903,10
6680,Farmacia Dottor Cantone,pharmacy,4007400.1470504194,1178679.7364759352,10
6681,Archimede,pharmacy,4007689.30081635,1179175.3671229845,10
6682,Abercrombie & Fitch,clothes,4008102.1816849657,1177159.7226941271,30
6683,&Other Stories,clothes,4007894.5073555214,1176854.346489226,30
6684,Urban Outfitters,clothes,4007971.7547197025,1177365.4480720414,30
6685,Intimissimi,clothes,4007905.716913903,1176932.4343361196,30
6686,Farmacia Beltrade,pharmacy,4007703.8164073173,1175967.2736240868,10
6687,Pharmacy,pharmacy,4007822.077566506,1176015.1659060596,10
6688,Champion,clothes,4007983.209432657,1175872.8643671896,30
6689,Dott. Calò,pharmacy,4009418.3525948357,1180817.5764851472,10
6690,Farmacia Bramante,pharmacy,4009642.327892956,1181678.59985177,10
6691,Farmacia Dr. Rocchi,pharmacy,4003935.8667452973,1177449.52068403,10
6692,Cigars and Co,tobacco,4008260.2864244846,1174683.0364422114,10
6693,Farmacia Cairoli,pharmacy,4008276.607591161,1175386.3837588609,10
6694,Pam,supermarket,4007669.979289641,1174232.421414888,50
6695,Boggi,clothes,4007664.936673722,1177344.4996907641,30
6696,Farmacia Ariberto,pharmacy,4007578.459538517,1174422.0747992645,10
6697,Patrizia Pepe,clothes,4008963.8318093503,1176217.709220639,30
6698,Tobacco,tobacco,4008995.998321147,1176249.3111190503,10
6699,Camicissima,clothes,4008502.176616142,1176254.3747693405,30
6700,Cosimo Gentile,clothes,4008507.934626692,1175913.0284119665,30
6701,Esselunga,supermarket,4008278.8286491456,1166290.061333157,50
6702,Auchan,supermarket,4005404.721110055,1163038.4833036878,50
6703,San Luigi,pharmacy,4005054.481206769,1179308.8449948453,10
6704,Pharmacy,pharmacy,4007854.015189731,1176231.3656386237,10
6705,Parafarmacia Esselunga,pharmacy,4005090.0741242324,1177239.0531400908,10
6706,Intimissimi,clothes,4007774.0811536303,1176187.1556809274,30
6707,The North Face Store Milano,clothes,4007918.3084935346,1177328.194199255,30
6708,Farmacia Loreto,pharmacy,4010352.525009143,1180032.7150291232,10
6709,Farmacia Plinio,pharmacy,4009471.324964889,1179509.371345881,10
6710,Pharmacy,pharmacy,4009606.0493908813,1179340.1884817374,10
